df_ind,title,brand,glowpick_exist
64,BRTC 파워 옴므 올인원 200ml /촉촉+산뜻제형/재구매 1위! 끈적임없이 산뜻한 남자스킨케어/남자올인원로션/비건인증화장품,비알티씨,O
65,[에이블랙] 글램 체인지 멀티 팔레트 14.4g,에이블랙,O
66,(20%쿠폰)루나 롱래스팅 컨실픽싱 쿠션 본품+리필+크림립스틱본품+누디손거울,루나,O
67,[🔥1+1🔥] 달바 에센스 선크림 / 워터풀 에센스 선크림 / 비건 인증 / 수분 선크림 / 촉촉한 선크림 / 메이크업 아티스트 PICK,달바,O
68,더랩바이블랑두 올리고 히알루론산 5000토너 500ml,더랩 바이 블랑두,O
69,미쟝센 쉽고 빠른 거품 염색 (옵션)  [ 간편염색 ㅣ 새치염색 ㅣ 뿌리염색 ㅣ 거품염색 ],미쟝센,O
70,[샵앤스토리] 페디큐어 네일스티커 22pcs 182종 붙이는 젤네일 패디 패치 스티커,샵앤스토리(자체제작),X
71,제이숲 퍼플제이 아쿠아마린 워터팩 200ml,제이숲,O
72,(1+1)리르 퀵 헤어카라 10g 올리브영 새치 마스카라 5초 새치커버 틴트,리르,O
73,롬앤 쥬시 래스팅 틴트 21color,롬앤,O
74,[🔥단품/세트 최대 74%🔥] 달바 너리싱 1BOX(5매입) 앰플한통 듬뿍!원킬!💛 / 1일1팩 / 쟁일수록 커지는 혜택,달바,O
75,닥터올가 프리미엄 썬 프로텍션 크림(SPF안심선크림) SPF50+ PA+++ 60ml,닥터올가,O
76,메종드 펜세 크림 퍼퓸 고체향수 3종,메종드펜세,O
77,SRB 쌀뜨물 효소 세안제(본품1개당 스틱세안제 5개),에스알비,O
78,[에뛰드] 플레이 컬러 아이즈 더스티 캣 세트 (더스티캣 팔레트 0.8gX9 + 브러쉬 1ea) + 립앤아이리무버 25ml / 레오제이팔레트 / 레오제이섀도우,에뛰드,O
79,라곰 셀럽 마이크로 폼 클렌저 150ml,라곰,O
80,[닥터지] 그린 마일드 업 선 플러스 50ml SPF50+ PA++++,닥터지,O
81,바나브 UP6 1ea,바나브,O
82,[대용량] 헤라 선메이트 프로텍터 SPF50+PA+++ 70ML+[N페이 3천점],헤라,O
83,디오메르 블랙캐비어 수분크림 50ml,디오메르,O
84,아이오페 UV쉴드 선 프로텍터 XP SPF50+/PA++++ 60ml (자외선차단 주름개선 미세먼지피부보호),아이오페,O
85,[글린트] 하이라이터 01 듀이 문 3.8 g / 0.13 oz.,글린트 바이 비디보브,O
86,[폼 200ml 증정] NEW 셀라피 에이리페어 민감 더마 바디 세트 (크림 바디워시+바디로션),셀라피,O
87,[2개묶음] 토리든 다이브인 저분자 히알루론산 세럼 50ml,토리든,O
88,려 자양윤모 9EX 탈모증상전문케어 샴푸 400ML 1+1 (옵션),려,O
89,[🔥1+1🔥] 달바 미스트 세럼 50ml/100ml/180ml / 비타민C 37% 캡슐 시너지 세트 / 화이트 트러플 미스트세럼 / 한혜진 PICK / 승무원 미스트,달바,O
90,리코셀 1일1팩 촉촉순한 네이처 리커버리 마스크팩 23g 13종 택1,리코셀,O
91,3CE 타투 립 틴트,3CE,O
